Total protein by cell line	HCC1806	MCF10A	HCC38	BT549	HS578T	MDAMB231	SKBR3	MCF7	HCC70	BT20
C7orf26	1.1903	1.5207	-0.55718	-0.031402	-0.76738	-0.23042	0.45764	0.83657	-0.71799	-1.7008
NOP16	1.3861	1.0833	-0.23435	-0.087567	-0.46244	-0.4164	0.71361	0.80558	-0.94055	-1.8473
NOP16	0.97515	1.7019	0.19344	-0.7071	-0.15442	-0.53562	0.42029	0.72446	-1.0126	-1.6055
FBXO38	0.98303	2.0057	-1.1517	-0.87302	0.36311	-0.23332	-0.028257	0.59345	-0.88767	-0.7713
PHF10	0.97262	1.5693	-1.4792	-0.18938	0.64936	-0.28866	-0.36942	0.95385	-1.1944	-0.62403
MUT	0.91021	1.5997	-0.60059	-0.2923	0.78442	-0.66557	0.31883	0.59562	-1.0613	-1.589
NFXL1	1.1857	1.1607	-0.82451	-0.69518	-0.055253	0.87114	0.39478	0.019355	-2.041	-0.015687
ZFX	0.99762	1.3891	-1.2729	-1.088	0.20569	0.40004	0.81382	0.38869	-1.4525	-0.38158
TTC19	1.2826	0.40077	-1.0688	-0.51681	-0.70151	0.35798	1.0827	0.64587	-1.854	0.37121
ZNF770	0.72129	1.1042	-1.4815	-0.48713	0.03326	-0.051075	0.983	0.1385	-1.7798	0.8193
NOA1	1.1482	0.76953	0.017995	-1.013	-0.45907	-0.2747	1.5328	-0.73267	-1.5903	0.60121
PEX2	1.0072	1.2768	-0.83687	-0.98161	-0.39208	0.14294	1.1314	-0.49997	-1.5702	0.72235
ABHD12	1.0602	-0.54831	-0.031602	-0.50431	0.092447	0.64592	1.3599	0.44209	-0.34077	-2.1756
FIBP	1.4985	-0.73756	0.069011	-0.24635	-0.42677	0.12171	1.6673	-0.24306	0.05941	-1.7622
RPS6KB2	0.73107	-1.2362	0.32338	-0.30918	-0.59033	0.068913	1.6986	0.87464	0.090088	-1.6509
POLR3C	0.56833	-0.75918	-0.20199	0.53095	-0.57356	0.15081	1.9165	0.7238	-0.70089	-1.6548
TINF2	0.72648	-0.90026	-0.6734	0.88461	-0.37684	0.24877	1.7905	0.43045	-0.53515	-1.5951
POLR3F	0.86435	-0.65006	0.28883	0.69817	-0.43923	0.24703	1.749	-0.11723	-0.84849	-1.7924
AMOT	1.4059	-1.2385	-0.13511	0.72617	-0.91481	1.0559	0.7172	0.20816	-0.29229	-1.5326
MZT1	1.0735	-1.2638	0.0466	0.84716	-0.51785	0.86285	1.1549	-0.34009	-0.11539	-1.7479
PQBP1	1.8697	-1.0329	0.29959	0.40723	-0.71403	0.39041	1.0406	-0.16837	-0.71471	-1.3776
MED9	1.4688	-0.26071	0.097899	0.62275	-0.92136	0.47156	0.26032	-0.19287	0.64192	-2.1883
PPIH	0.89752	-0.73858	0.24451	0.28273	-0.95919	0.95294	0.82254	-0.094602	0.71107	-2.1189
POLR2J	1.5489	-0.63613	-0.36476	0.56664	-0.73603	0.43284	1.1107	-0.43107	0.3684	-1.8595
CCNL2	0.67364	0.24042	-0.19951	-0.09526	-1.6123	1.2514	1.4311	-0.02981	-0.17862	-1.481
CYTH1	0.5188	0.67283	0.64683	0.62047	-1.8477	0.87658	0.93937	-0.26738	-1.0248	-1.135
CDC26	0.94028	-0.12482	-0.34759	1.1974	-1.1851	1.3079	0.16365	0.18483	-0.33094	-1.8056
LSM7	0.94105	-0.55255	-0.12229	1.0184	-0.80692	1.2105	0.75915	-0.1233	-0.34087	-1.9832
PM20D2	0.59474	-0.14906	0.39143	1.4904	-1.1048	0.67116	0.68787	-0.26316	-0.33832	-1.9803
POLR1C	0.52913	-0.6892	-0.35932	1.5906	-1.1971	1.1282	1.052	-0.20252	-1.0203	-0.83143
POLR1D	0.82966	0.037952	-0.88157	1.2605	-0.84464	0.8584	1.3006	-0.35008	-0.76155	-1.4492
TIMM13	0.52287	0.3978	-0.3905	1.4017	-1.3317	0.74826	1.0415	-0.18417	-0.57088	-1.635
CUTC	0.51918	-0.91801	-0.45632	1.9317	-0.25395	-0.15768	0.94771	0.23705	-0.15227	-1.6974
LSM3	0.92366	-1.2038	-0.27242	1.4287	-0.68889	0.30297	0.91103	0.36958	-0.024686	-1.7461
CYB5R4	0.049586	-1.1768	-0.38591	2.0104	-0.76202	0.8491	0.79281	-0.017036	-0.14793	-1.2122
KIF1A	0.0031005	-1.5456	-0.093492	1.2433	-0.32776	0.3735	0.97173	1.3198	-0.63136	-1.3133
SERPINF1	0.1142	-0.76047	-0.81387	1.4213	-0.10685	0.19671	0.98439	1.2065	-0.51337	-1.7285
FAM103A1	-0.10118	-0.93113	0.14222	1.0939	-0.16648	1.401	0.51566	0.33014	-0.15921	-2.1249
OGT	-0.15497	-1.345	-0.25483	1.2943	-0.12655	1.4474	0.87113	0.27761	-0.52403	-1.485
AIFM2	0.83802	-0.60884	0.81754	0.77543	-0.4791	1.5097	-0.89561	-1.0421	0.50209	-1.4171
MLF1	1.2959	-0.61074	0.33374	0.72065	-0.38746	1.512	-0.52448	-1.4485	0.29966	-1.1907
CDKAL1	1.2749	0.056309	0.81843	0.25098	-0.098332	0.65632	0.27659	-1.6927	0.24539	-1.7878
MIS12	1.1482	0.2257	0.55535	0.12882	0.11368	0.98553	-0.0054224	-1.3968	0.31207	-2.0671
MTERFD1	0.95132	-0.27698	0.90202	0.6336	-0.41751	0.85895	0.26279	-1.3543	0.3972	-1.957
MPHOSPH6	1.0764	0.075143	0.30424	0.16137	-0.74874	1.216	0.39812	-1.3425	0.66838	-1.8084
DAXX	1.1209	-0.64046	0.31057	1.4004	-0.20717	-0.1038	0.49611	-1.4826	0.64357	-1.5375
SPIN1	0.89069	-0.093852	0.23243	2.0236	-0.61247	0.11174	-0.0054359	-1.3264	0.15066	-1.371
GOLM1	0.40451	0.089677	0.30862	1.2807	-0.77774	0.78345	0.46416	-1.7153	0.66847	-1.5065
MIS18BP1	1.3483	-0.14604	-0.09755	0.94985	-1.2325	0.52389	0.38116	-1.3938	0.90858	-1.2419
C1orf109	0.075625	-0.58161	1.1719	1.2426	-0.35484	0.71369	0.60944	-1.0601	0.081059	-1.8978
PYGL	0.17199	-0.44618	1.1028	1.2092	0.0065258	0.6713	0.025883	-0.52283	0.096283	-2.315
MZT2A	0.45219	-0.96678	1.3637	0.49757	-0.66768	0.73255	0.9185	-0.24043	-0.12646	-1.9631
POLE2	0.95364	-0.34358	1.3789	0.711	-1.1103	0.55645	0.50383	-0.86374	-0.048066	-1.7381
CCDC14	0.85922	-1.0942	0.91113	0.83291	0.44102	0.16853	-0.03284	-0.6669	0.68076	-2.0996
RPLP2	1.2172	-0.47784	0.30583	0.52567	0.42105	0.35416	0.35639	-0.52854	0.30019	-2.4741
BMPR1A	0.6413	0.43945	0.25573	1.2788	-0.71192	1.3586	-0.56487	-0.66536	-0.14509	-1.8866
FAM210A	0.78159	0.59226	-0.26825	0.93195	-0.56396	1.1012	0.88476	-1.298	-0.46291	-1.6986
PAK6	0.43172	1.1225	0.21767	0.46234	-0.68994	1.2099	0.45263	-0.58449	-0.48424	-2.1381
SRSF5	0.97699	0.69692	0.61298	0.27837	-0.98919	0.78268	0.53317	-0.50008	-0.16619	-2.2256
CDC42SE2	1.6529	1.1454	-0.53953	0.31895	-0.99775	0.050017	0.31682	-1.2926	0.56169	-1.2159
UBIAD1	1.5214	0.77369	-0.073768	0.37443	-1.2916	0.84212	0.40554	-1.3593	0.052071	-1.2446
EXOSC1	1.2215	1.077	0.30314	0.27938	-0.78916	1.0319	-0.3216	-1.4015	0.14867	-1.5494
EXOSC9	1.143	0.73101	0.54502	0.56929	-0.8724	1.2133	-0.28174	-1.5514	-0.15666	-1.3395
EXOSC5	0.8079	1.3266	0.60565	0.4319	-0.81794	0.87093	-0.093638	-1.7661	-0.15991	-1.2054
EXOSC2	0.96063	0.66141	0.65562	0.86646	-0.91515	1.0365	0.20309	-1.5775	-0.60696	-1.2841
EXOSC3	1.5058	0.53069	0.40484	0.92297	-0.97387	0.72312	-0.30228	-1.5518	-0.050396	-1.2091
CDC16	1.5187	-0.27151	-0.52536	1.2243	-1.1105	1.2887	0.16105	-1.0223	-0.42873	-0.83433
MMS22L	1.5232	-0.082247	0.15881	1.2186	-1.1525	0.84447	0.28748	-1.4538	-0.56686	-0.7772
POM121	1.6332	0.060525	-0.5572	0.62342	-0.60435	1.123	0.79443	-1.3479	-0.67872	-1.0464
G3BP2	0.74021	0.26712	0.30172	0.35941	-0.82912	1.3176	0.89049	-2.1231	-0.53013	-0.39417
ALG8	1.2246	0.4646	-0.49445	0.92774	-1.3695	0.68382	-0.16255	0.021727	0.57046	-1.8665
HMOX2	1.3623	0.59109	0.64737	0.53933	-1.4431	0.19176	-0.022046	-0.13495	0.24024	-1.9721
YEATS4	0.79296	0.86946	0.39094	0.74362	-1.1765	0.31297	0.19391	-0.13216	0.30274	-2.298
SENP1	1.5425	1.0259	0.22726	0.4564	-1.2265	0.20951	0.30607	-0.67318	-0.07712	-1.7909
RAD21	1.6553	0.54769	0.24149	0.64952	-1.0063	-0.73844	-0.031987	-0.084658	0.63944	-1.8721
KNG1	1.3223	0.56245	-0.65543	0.92995	-0.27278	0.20919	0.68767	-0.2313	-0.34331	-2.2087
MTHFD1L	0.89858	1.3343	0.03315	1.1464	-0.93335	-0.06614	-0.12082	-0.025974	-0.22796	-2.0382
MTHFD1L	1.126	1.2885	-0.39198	1.2422	-0.89363	-0.093113	0.036917	0.12074	-0.67664	-1.759
CCDC12	1.3407	0.30209	0.032874	-0.28674	-0.6959	0.4986	1.3679	-0.021572	-0.49334	-2.0446
PRDX3	1.2137	0.67696	-0.096994	-0.55709	-1.0805	0.90467	0.98634	0.29245	-0.47418	-1.8654
CDK11B	1.6942	0.16603	-0.069285	-0.15201	-1.0702	0.95607	0.4755	0.21953	-0.31106	-1.9088
MED24	1.6689	0.27124	-0.011428	-0.12464	-1.0694	0.90352	0.75766	0.12627	-0.8166	-1.7055
MRPL4	1.5653	1.1257	-0.15847	0.083919	-1.0142	0.40796	0.65182	-0.30719	-0.55947	-1.7953
TMA16	1.4367	1.2218	-0.3436	-0.21705	-0.86117	0.21276	1.1059	-0.49587	-0.35857	-1.701
SNRNP48	1.7816	0.99458	-0.53136	-0.20547	-0.85971	0.50527	0.28347	0.091442	-0.22129	-1.8385
CPSF3L	1.1919	0.73753	-0.12609	0.51134	-1.1239	0.56842	1.0203	0.067108	-1.2301	-1.6165
MRPL50	0.73597	1.1493	-0.1104	0.02858	-0.97737	0.26824	1.2235	0.32424	-0.6121	-2.0299
MT-ND1	0.81822	1.4382	-0.50494	0.61256	-1.1453	0.18485	0.91723	-0.081727	-0.43724	-1.8019
NDUFA5	0.13841	1.6257	-0.31229	0.34954	-1.1668	0.16862	1.2197	0.17894	-0.47453	-1.7273
COX5A	0.72329	1.1663	0.56594	-0.11485	-1.4969	-0.89495	0.53297	0.92422	0.19558	-1.6016
TAF12	1.3598	0.81458	-0.060649	0.028194	-1.3506	-0.83349	0.98607	0.58801	0.092159	-1.6241
NDUFAF5	1.5225	1.2258	-0.062382	-0.54322	-1.081	-0.28327	0.7763	-0.0068709	0.18289	-1.7308
TMEM161A	1.2815	1.3429	-0.19769	-0.33516	-0.89763	-0.28597	0.88111	-0.038402	0.17466	-1.9254
VPS72	1.1962	1.5122	-0.099339	-0.93691	-0.97085	-0.4086	0.65656	0.48926	0.16962	-1.6081
OPA1	1.3818	0.64685	0.064964	-0.72642	-0.88176	-0.50342	1.3541	0.15175	0.29185	-1.7797
PTRH1	1.3414	0.71704	-0.1708	-0.35657	-1.429	-0.076017	1.397	0.33603	-0.21965	-1.5394
SFXN4	1.1522	0.85941	-0.13039	-0.63989	-1.3261	0.34089	1.0496	0.69265	-0.2731	-1.7253
ZDHHC13	0.82426	0.86697	0.14447	-0.26677	-1.3691	0.56219	0.69783	0.5355	0.12526	-2.1206
MTG1	0.90817	1.4017	0.90081	-0.89471	-0.54503	-0.20665	0.76846	-0.35127	-0.10143	-1.88
NHP2L1	1.3201	1.0845	0.39641	-0.59862	-0.4406	-0.2611	0.47075	0.17277	0.10113	-2.2454
NHP2	0.88197	1.5595	0.85208	-0.57267	-1.1206	-0.39706	0.44289	0.37641	-0.3259	-1.6967
FBXO45	0.46374	1.0239	-0.07201	0.42508	-0.75969	0.43205	0.90365	-1.0344	0.71324	-2.0956
SPRYD3	0.72907	0.66284	-1.0396	0.01891	-0.03867	0.25712	1.63	-0.30288	0.1128	-2.0296
ZMYND11	0.90742	0.55389	-0.7068	0.121	-0.26793	0.12512	1.5184	-0.93814	0.61244	-1.9254
UBE2J2	1.4386	1.0484	-0.60712	0.0065489	0.13004	0.50121	0.20017	-0.41146	-0.075003	-2.2314
UBE2J2	1.1036	1.219	-0.70475	-0.52189	0.087058	0.14108	0.71129	-0.18721	0.35092	-2.199
CHERP	2.0493	0.18637	0.25864	-0.8286	-1.2561	-0.035129	0.40113	-0.40033	0.8227	-1.1979
POLR2G	2.1629	0.068104	0.31614	0.042638	-1.4552	0.27672	0.16677	-0.72438	0.31637	-1.17
RBM17	1.8896	0.1378	0.7416	-0.15117	-1.3082	-0.16365	0.16623	-0.68394	0.78286	-1.4111
CHTF18	1.9343	-0.79813	0.35662	-0.011336	-1.4512	0.72461	0.37569	-0.30667	0.39068	-1.2146
MAX	1.663	0.076649	-0.076713	0.20479	-1.8956	0.64908	0.34332	0.34391	0.078573	-1.3871
SNRPF	1.4897	0.74146	0.25125	-0.15932	-1.7574	0.24134	0.79987	-0.15522	0.07365	-1.5253
UFSP2	1.755	0.45181	0.34265	-0.27774	-1.7209	0.33113	0.69374	-0.36484	0.13711	-1.3479
GMEB1	2.0747	-0.46586	-0.8006	-0.19265	-0.50974	0.51981	1.1106	-0.57708	0.13883	-1.298
POLR2C	1.9918	-0.062398	0.026731	-0.23239	-0.91761	0.13223	1.124	-0.7791	0.20119	-1.4845
WDR12	2.0323	0.2159	-0.54582	-0.15678	-0.75451	0.11722	1.195	-0.71585	0.018537	-1.406
U2AF1	2.4124	-0.12162	-0.31468	0.2598	-1.1637	-0.11173	0.38424	-0.39305	0.1865	-1.1381
RSRC1	1.9281	0.007136	-0.95216	-1.0208	-0.06818	0.49632	1.2149	-0.95751	0.16619	-0.81398
TFIP11	1.8213	0.33306	-0.49974	-1.0177	-0.66603	0.3962	1.296	-0.89153	0.29019	-1.0618
CACTIN	1.4712	0.0075384	1.3606	0.1061	0.21606	0.40302	-0.36777	-0.87916	-0.39388	-1.9237
MRTO4	1.5567	0.085985	1.321	-0.25406	-0.1054	0.31038	0.2467	-0.58229	-0.60895	-1.9701
ILF2	1.7664	0.7338	0.80778	-0.57547	-0.38754	-0.058185	0.3637	-0.18218	-0.52973	-1.9386
SMNDC1	1.7308	0.44462	0.84964	-0.8415	-0.64805	0.57509	0.20588	-0.51767	0.021856	-1.8207
GTF2H5	1.3836	0.17921	0.40004	-0.023616	-0.32008	0.35807	0.57283	0.25201	-0.31822	-2.4838
ILF3	1.763	0.25619	0.052129	0.11663	-0.01543	0.40164	0.29822	-0.21722	-0.33082	-2.3244
NXF1	1.0488	0.78972	0.82201	0.0039505	-0.19924	0.55114	0.11895	-0.14523	-0.55918	-2.4309
NFKBIL1	1.7179	-0.040898	0.58537	-0.23727	-0.28668	0.68513	0.13426	0.42101	-1.0075	-1.9713
TAF10	2.0006	-0.020812	0.034738	-0.47442	-0.42658	0.75757	0.40917	0.16222	-0.57378	-1.8687
NOL7	1.8602	0.58268	0.050485	-0.40061	-0.056705	0.59348	0.45795	-0.11689	-1.334	-1.6366
FOXK2	1.5338	-0.21746	0.65866	-0.88239	-0.18225	1.0696	0.99806	-0.63952	-0.98067	-1.3578
PPP1CC	0.93917	0.74066	0.49176	-0.75962	0.1759	0.88636	1.0089	-0.80193	-0.75801	-1.9231
CCDC41	1.252	0.16918	0.84713	1.0324	-0.45972	-0.62407	0.66066	0.002544	-0.97339	-1.9067
ENTPD6	0.73171	0.43896	0.58316	1.0012	-0.40139	-0.63957	1.0446	0.23248	-0.88705	-2.1041
PES1	1.3492	0.86328	0.36731	0.36307	-0.47799	-0.24352	0.9548	-0.61244	-0.47359	-2.0902
TCERG1	1.357	1.0736	0.31858	0.72492	-0.92492	-0.27499	0.68515	-0.43407	-0.71433	-1.811
POLR2D	1.5645	0.075984	0.99566	0.11415	-1.0498	-0.41711	0.64512	0.054099	-0.02127	-1.9613
POLR3A	0.84496	-0.099704	0.8216	0.057738	-0.73464	0.099969	1.5467	0.43128	-1.3026	-1.6652
TCOF1	0.68025	0.2475	0.45379	0.4536	-1.0157	0.42565	1.1548	0.68243	-1.1526	-1.9297
SCARB1	0.5821	1.0126	0.97132	0.20918	-1.2931	0.0034096	0.67226	0.4797	-0.67988	-1.9576
VPS13A	0.73086	0.22873	1.4416	0.54983	-1.6129	0.074583	0.46078	0.54109	-1.1533	-1.2613
NXT1	1.0439	0.50322	0.47135	0.32127	0.046844	0.6221	0.66336	-0.085543	-1.6148	-1.9717
ZCCHC3	0.81334	-0.074099	1.4035	0.12034	0.044926	0.28753	0.89586	-0.32415	-1.1708	-1.9964
TOMM6	0.5205	0.27091	0.39776	0.69244	-0.35891	0.45574	1.506	-0.53849	-0.84686	-2.0991
TBC1D20	-0.25661	0.53233	0.74223	0.11441	0.66229	0.80264	0.8851	-0.061839	-1.2822	-2.1384
BLOC1S2	0.45579	0.27527	0.18342	-0.24983	-0.022589	0.52157	0.31416	0.83624	0.40385	-2.7179
GON4L	0.021592	0.32536	0.28956	-0.085388	-0.29091	0.088237	-0.21308	1.5808	0.67374	-2.3899
DHRS7B	0.068834	0.63427	-0.068262	-0.48559	-0.18144	1.1154	0.36496	1.2019	-0.32849	-2.3216
HNRNPK	-0.93259	0.75513	-0.012876	-0.90245	0.36162	0.81981	0.50882	0.925	0.59324	-2.1157
P4HB	0.10005	0.04498	0.81837	-1.2429	0.025091	0.78918	1	0.81001	-0.23833	-2.1064
PSAP	1.277	-0.036989	0.31994	-1.2232	-1.02	0.954	0.34398	1.1197	-0.18075	-1.5537
SAP30BP	0.44745	0.18224	0.53139	-0.65354	-1.1714	0.91491	0.66726	1.2616	-0.24303	-1.937
DNTTIP1	0.90871	0.24137	-0.86238	-0.59583	-1.1346	0.92285	1.265	1.0684	-0.41063	-1.4029
NAA38	1.3853	0.12748	-1.1584	-0.77514	-1.1819	1.1104	0.87701	0.67619	0.062303	-1.1233
OBFC1	1.1745	0.22313	-1.2087	-0.46372	-1.2957	1.012	0.47023	1.2463	0.032001	-1.1902
FGFR1OP2	0.91673	1.0534	-0.55219	-0.75501	-0.99421	0.24633	0.15447	0.7565	1.0341	-1.8602
SPCS1	0.7683	1.4859	-0.35958	-0.98844	-0.64026	0.19907	0.038471	1.0229	0.33973	-1.8662
ZNF621	0.63137	1.806	-0.44598	-0.84354	-1.1491	0.24232	0.30668	0.68067	0.31803	-1.5465
ZBED6	0.75966	1.3352	-1.0843	-0.71111	-1.0222	0.77704	0.57551	0.89205	-0.04508	-1.4768
MOSC1	0.74194	0.93465	0.37343	-1.5404	-1.1979	-0.0045466	0.8273	0.98915	0.25506	-1.3788
PRR14	0.32458	0.81998	-0.10571	-0.98152	-0.98771	-0.47984	0.84998	1.3106	0.91328	-1.6636
HTRA2	1.4452	1.3397	-0.89454	-0.89388	-0.33849	0.63679	0.75912	-0.18268	-0.37138	-1.4999
ZCRB1	1.3886	1.4021	-0.82107	-1.3096	-0.10913	0.43976	1.0021	-0.32006	-0.78432	-0.88841
IFNAR1	1.4703	1.1499	-1.1121	-0.94784	-1.0259	1.0049	0.81033	-0.26933	-0.59301	-0.48734
ING3	1.3467	1.4185	-0.97405	-1.5525	-0.82529	0.78642	0.28321	0.1259	0.037843	-0.64672
ABLIM1	0.41989	1.0667	-0.63352	-1.0975	-1.307	0.83591	0.92557	-0.092797	1.1248	-1.242
REEP3	0.37534	0.77754	-0.032691	-0.96741	-1.1806	0.45594	0.66349	0.084446	1.5326	-1.7087
B3GNT2	1.0679	0.19083	-0.32142	-0.20501	-1.979	-0.48407	0.57286	0.17318	1.6508	-0.66605
LGALS9C	1.1948	0.041731	-0.67604	-0.90474	-1.0082	0.39829	0.085696	-0.046865	1.9893	-1.074
NOP10	1.2521	0.07435	-0.57739	-0.86534	-1.4363	0.33313	1.1093	-0.13012	1.3231	-1.0829
DNAH12	0.9181	-0.12915	-0.75471	-0.039683	-1.9192	1.4686	0.39875	-0.2219	1.0004	-0.72114
ARHGAP32	1.2754	0.47984	-0.63814	-0.5971	-1.774	-0.2111	1.3208	-0.64383	0.99334	-0.20523
NFRKB	1.4581	1.0223	-0.93078	-0.70039	-1.3933	-0.16307	1.4922	-0.47967	-0.13737	-0.16805
GTPBP3	0.90569	0.7872	-1.6484	-0.12054	-1.1049	-0.014315	1.3053	-0.12094	0.97723	-0.96638
TMEM186	0.92718	0.63009	-0.63753	-0.012534	-1.3366	-0.44762	1.0938	-0.37529	1.4934	-1.335
ZNF524	1.3178	0.66494	-1.0502	0.065078	-1.4597	-0.057655	0.72088	-0.73288	1.3572	-0.82542
TBRG4	0.41823	1.6976	-1.2389	0.22663	-0.95739	-0.37216	1.1127	-1.0179	0.77933	-0.64815
ARID1A	0.86473	0.52306	-2.0606	0.19121	0.11544	-0.60434	0.59993	-0.55273	1.5166	-0.59332
EFCAB14	1.0689	0.36297	-1.7695	-0.5599	-0.55557	0.23491	1.239	-0.89608	1.211	-0.3358
CANX	1.4397	-0.55036	-1.3192	0.95992	-0.39088	0.79303	0.63766	-0.44858	0.4254	-1.5467
CENPK	1.6306	-1.0397	-1.1887	0.27806	-0.019913	0.78857	0.80161	0.10026	0.2141	-1.5649
ILF3	2.03	-0.44602	-1.4509	0.60279	-0.35315	-0.0064776	0.41135	0.3455	0.19379	-1.3269
DVL1	1.5202	0.55978	-1.3263	0.027985	-0.7347	0.59767	0.37212	-0.70129	1.0749	-1.3903
DZIP3	1.994	0.064652	-1.3688	0.26148	-1.1098	0.42788	0.5063	-0.57933	0.62707	-0.82343
TOPORS	1.3884	-0.042273	-1.5654	0.31795	-0.96849	0.14956	-0.053822	0.50758	1.4104	-1.144
HSF2	1.2943	0.39315	-1.6368	0.052112	0.19771	0.0084515	1.0851	-0.28858	0.58255	-1.688
KANSL3	1.9443	0.71344	-1.6223	0.25215	0.11248	-0.26914	0.51732	-0.66247	0.11438	-1.1001
MARH5	1.5937	0.79556	-1.3539	0.1531	-0.1892	-0.014736	-0.13945	0.25067	0.72724	-1.823
UIMC1	1.3503	0.66155	-2.0912	0.74935	0.1181	0.14215	-0.3237	-0.086686	0.61262	-1.1325
BCL7C	1.3923	0.94207	-0.45838	-1.1216	-0.54825	-0.82457	1.5153	-0.0369	0.29739	-1.1573
PHIP	1.6148	1.1405	-0.18804	-0.95651	-0.34118	-0.89993	1.217	0.042182	-0.36392	-1.2649
SMARCA4	1.9407	0.66121	-0.45365	-0.77617	0.011458	-1.4568	1.1777	-0.24894	-0.26826	-0.58725
MCU	1.3388	0.73441	-0.44771	-0.7687	-0.24956	-0.47278	1.8107	-1.4242	0.012002	-0.53291
ECSIT	1.9127	0.45584	-0.14528	-0.43152	-0.13986	-0.32427	1.1342	-0.595	-0.09104	-1.7757
NDUFAF1	1.911	0.7525	0.04376	-0.67358	0.044431	-0.57699	1.0032	-1.0131	-0.094956	-1.3963
OAT	1.2742	0.79625	0.86808	-0.75659	0.2791	-0.17933	0.66562	-1.2369	0.11195	-1.8224
RNF168	1.6389	0.60873	-0.045664	-1.1087	0.76965	-0.76621	0.84898	-1.1774	0.36769	-1.136
TOMM70A	1.8414	0.84691	0.23411	-1.6674	0.29591	-0.22823	0.28869	-0.81911	0.2554	-1.0477
TFAP4	1.7065	1.0735	0.18968	-1.1156	-0.14559	-0.58666	0.36111	-1.5106	0.67592	-0.64828
DPF2	1.0126	1.2876	-0.73307	-1.0882	0.18628	-1.4018	0.82736	-0.61834	1.0973	-0.56978
SLC33A1	1.042	0.53335	0.11871	-1.1024	0.72428	-1.7506	0.89398	-0.032839	0.76659	-1.1931
COQ9	-0.0071411	1.2977	-0.40022	-0.20537	-1.128	-1.1818	1.9096	-0.37577	0.6168	-0.52575
SLC25A12	0.22283	1.276	-0.52952	-0.35296	-0.86717	-0.61144	2.1135	-0.64119	0.29792	-0.90801
NVL	0.47708	1.0059	0.33269	-0.38919	-1.3201	-0.91655	1.9819	-0.64622	0.20206	-0.72751
GATAD2B	-0.20566	1.0696	-0.091699	0.059125	-0.49875	-0.78682	2.1451	-1.2893	0.34196	-0.74361
GDPGP1	0.84639	1.107	-0.53213	0.8726	-1.7249	-0.25541	1.1082	-0.67068	0.33619	-1.0872
TYSND1	0.75633	0.91931	-0.30431	0.30573	-1.8788	0.25706	1.5161	-0.79966	0.14577	-0.91751
MYCBP2	0.55736	0.8617	-1.0917	0.18564	-1.1619	0.60335	1.6614	-1.2026	0.39107	-0.80436
GTPBP10	1.2097	0.62545	-0.029557	-0.13957	-1.2119	0.089164	1.703	-0.78454	-0.0015064	-1.4603
MRPL52	1.2016	1.0398	-0.32751	-0.26444	-0.91462	-0.069856	1.7155	-1.0134	-0.15801	-1.209
POLR1B	0.63447	1.3782	0.018645	0.025836	-1.0479	-0.063534	1.6561	-1.2034	-0.23772	-1.1607
TOMM22	1.1325	0.93123	-0.33342	0.54486	-0.48608	-0.29206	1.5484	-1.3312	-0.36622	-1.3479
DAZAP1	0.84323	1.5768	-0.83017	0.18803	-0.1227	-0.63756	1.2296	-0.79028	0.12568	-1.5826
PCED1B	1.5496	1.4486	-0.72348	-0.22386	0.26264	-0.86274	0.7349	-0.6593	-0.065284	-1.461
DDX17	1.0725	1.1314	-1.0709	0.24744	-0.23263	-1.2027	1.3445	-1.2673	0.46168	-0.48408
PTCD2	1.5185	1.095	-1.1987	0.49418	-0.51465	-1.0576	1.2256	-0.38724	-0.37763	-0.79746
H2AFV	0.57306	0.68532	-0.66613	0.29927	-0.23862	-1.0708	1.8359	-0.36331	0.56958	-1.6243
TXN2	0.70905	0.74364	-1.3461	0.61567	-0.25274	-0.65967	1.5613	0.048153	0.24093	-1.6602
UBE2J1	0.97707	0.18787	-0.87854	0.47288	0.13338	-0.98044	1.9997	-0.11512	-0.44619	-1.3506
ATP13A2	0.21406	0.68098	-1.5297	-1.3888	-0.84493	0.6037	0.7586	0.027109	1.5978	-0.11876
CASC4	0.62251	0.85867	-2.0705	-1.0426	-0.57753	-0.16924	0.77484	-0.049059	1.1181	0.5348
EPB41L4B	-0.23462	0.69727	-1.2112	-1.6976	-0.4199	-0.10011	1.5332	0.68035	1.0193	-0.26676
MCM8	0.61704	0.5023	-1.552	-1.4087	-0.19484	0.24238	1.8402	-0.089075	0.51212	-0.46947
RALB	0.87451	0.77976	-1.6586	-1.0996	-0.79389	-0.18287	1.6366	0.12099	0.52086	-0.19777
FAM222B	2.0445	0.4877	-1.4	-0.98306	-0.66332	-0.29973	0.79871	0.52033	-0.040934	-0.46429
NSUN3	1.5176	0.45828	-1.2386	-0.86074	-0.94528	-0.03875	1.3643	0.71137	0.0061967	-0.97438
KAT6B	1.5297	0.14699	-1.3931	-0.44514	-0.41105	-0.28659	1.7835	0.099716	0.004378	-1.0284
TFPT	1.0881	0.40629	-0.94391	-0.91081	-0.39593	-0.23573	2.1039	0.026876	-0.0025618	-1.1362
MYSM1	0.8177	-0.19915	-1.0089	-0.37037	-0.33573	-0.95034	2.2511	0.50228	0.17172	-0.87836
PRDM15	1.0863	0.63167	-1.6849	-0.7605	0.018461	-0.10143	1.4704	0.81696	-0.92922	-0.54775
ZDHHC23	0.079322	0.41389	-1.6997	-0.57063	-0.0067216	-0.025851	1.4323	1.6227	-0.89363	-0.35168
